regime,prevalence,policy,knob,coverage,escalation_rate,false_reject_rate,false_accept_rate,cost_per_item
target_0.02,0.02,naive,0.10681931185722351,0.9673580651772905,0.032641934822709565,0.0,0.38805970149253743,0.07633941381430623
target_0.02,0.02,naive,0.11349551884829999,0.9666857962697275,0.03331420373027259,0.0,0.3650793650793653,0.07196966591514656
target_0.02,0.02,naive,0.12017172583937645,0.9661815945890553,0.03381840541094486,0.0,0.3666666666666668,0.07079319532691127
target_0.02,0.02,naive,0.12684793283045293,0.941606886657102,0.05839311334289814,0.0,0.3571428571428572,0.09200655872104939
target_0.02,0.02,naive,0.1335241398215294,0.940934617749539,0.059065382250461165,0.0,0.32692307692307704,0.08763681082188973
target_0.02,0.02,naive,0.14020034681260587,0.9404304160688668,0.05956958393113343,0.0,0.30612244897959195,0.08477966796474687
target_0.02,0.02,naive,0.14687655380368234,0.940262348841976,0.05973765115802419,0.0,0.3125000000000001,0.08494773519163763
target_0.02,0.02,naive,0.1535527607947588,0.9397581471613037,0.06024185283869645,0.0,0.3111111111111113,0.08377126460340234
target_0.02,0.02,naive,0.16022896778583529,0.9397581471613037,0.06024185283869645,0.0,0.3111111111111113,0.08377126460340234
target_0.02,0.02,naive,0.16690517477691175,0.9394220127075222,0.060577987292477965,0.0,0.32558139534883734,0.08410739905718385
target_0.02,0.02,naive,0.1735813817679882,0.9389178110268499,0.06108218897315023,0.0,0.32500000000000007,0.08293092846894855
target_0.02,0.02,naive,0.18025758875906467,0.9384136093461777,0.0615863906538225,0.0,0.32432432432432434,0.08175445788071325
target_0.02,0.02,naive,0.18693379575014116,0.9140069686411151,0.085993031358885,0.0,0.2647058823529412,0.10111908177905309
target_0.02,0.02,naive,0.19361000274121762,0.8897683951629431,0.11023160483705677,0.0,0.25,0.12367698298831728
target_0.02,0.02,naive,0.20028620973229408,0.8896003279360525,0.11039967206394752,0.0,0.25806451612903225,0.12384505021520804
target_0.02,0.02,naive,0.20696241672337057,0.8892641934822709,0.11073580651772903,0.0,0.2068965517241379,0.12081984013117444
target_0.02,0.02,naive,0.21363862371444703,0.8650256200040992,0.13497437999590078,0.0,0.2222222222222222,0.14505841360934618
target_0.02,0.02,naive,0.2203148307055235,0.8407870465259275,0.15921295347407255,0.0,0.16,0.1659356425497028
target_0.02,0.02,naive,0.22699103769659998,0.8167165402746465,0.18328345972535354,0.0,0.16666666666666669,0.1900061488009838
target_0.02,0.02,naive,0.23366724468767644,0.7924779667964748,0.2075220332035253,0.0,0.0909090909090909,0.21088337774134044
target_0.02,0.02,naive,0.2403434516787529,0.7440008198401312,0.2559991801598688,0.0,0.05555555555555555,0.2576798524287764
target_0.02,0.02,naive,0.2470196586698294,0.6721254355400698,0.32787456445993024,0.0,0.0,0.3278745644599303
target_0.02,0.02,naive,0.25369586566090585,0.6482229965156796,0.3517770034843205,0.0,0.0,0.35177700348432056
target_0.02,0.02,naive,0.2603720726519823,0.6243205574912892,0.37567944250871077,0.0,0.0,0.3756794425087108
target_0.02,0.02,naive,0.2670482796430588,0.5287108013937283,0.4712891986062718,0.0,0.0,0.4712891986062718
target_0.02,0.02,naive,0.27372448663413523,0.5019512195121952,0.4980487804878049,0.0,,0.4980487804878049
target_0.02,0.02,naive,0.28040069362521175,0.4541463414634147,0.5458536585365854,0.0,,0.5458536585365854
target_0.02,0.02,naive,0.2870769006162882,0.4541463414634147,0.5458536585365854,0.0,,0.5458536585365854
target_0.02,0.02,naive,0.29375310760736467,0.4063414634146342,0.5936585365853658,0.0,,0.5936585365853659
target_0.02,0.02,naive,0.30042931459844113,0.4063414634146342,0.5936585365853658,0.0,,0.5936585365853659
target_0.02,0.02,naive,0.3071055215895176,0.3824390243902439,0.6175609756097561,0.0,,0.6175609756097561
target_0.02,0.02,naive,0.31378172858059405,0.3585365853658538,0.6414634146341462,0.0,,0.6414634146341462
target_0.02,0.02,naive,0.32045793557167057,0.3585365853658538,0.6414634146341462,0.0,,0.6414634146341462
target_0.02,0.02,naive,0.32713414256274703,0.33463414634146355,0.6653658536585366,0.0,,0.6653658536585366
target_0.02,0.02,naive,0.3338103495538235,0.3107317073170733,0.6892682926829268,0.0,,0.6892682926829268
target_0.02,0.02,naive,0.34048655654489995,0.286829268292683,0.713170731707317,0.0,,0.7131707317073172
target_0.02,0.02,naive,0.3471627635359764,0.19121951219512195,0.8087804878048781,0.0,,0.8087804878048781
target_0.02,0.02,naive,0.3538389705270529,0.14341463414634148,0.8565853658536586,0.0,,0.8565853658536586
target_0.02,0.02,naive,0.36051517751812934,0.14341463414634148,0.8565853658536586,0.0,,0.8565853658536586
target_0.02,0.02,naive,0.36719138450920585,0.07170731707317074,0.9282926829268293,0.0,,0.9282926829268293
target_0.02,0.02,naive,0.3738675915002823,0.04780487804878049,0.9521951219512197,0.0,,0.9521951219512197
target_0.02,0.02,naive,0.3805437984913588,0.023902439024390244,0.9760975609756098,0.0,,0.9760975609756098
target_0.02,0.02,naive,0.38722000548243524,0.023902439024390244,0.9760975609756098,0.0,,0.9760975609756098
target_0.02,0.02,naive,0.3938962124735117,0.023902439024390244,0.9760975609756098,0.0,,0.9760975609756098
target_0.02,0.02,naive,0.40057241946458816,0.0,1.0,,,1.0
