regime,prevalence,cost_matrix,policy,knob,coverage,escalation_rate,false_reject_rate,false_accept_rate,cost_per_item
target_0.02,0.02,10/3/1,ours,1.386153846153846,0.9958000000000002,0.004200000000000001,0.0,1.0,0.1622
target_0.02,0.02,10/3/1,ours,1.4269230769230767,0.9958000000000002,0.004200000000000001,0.0,1.0,0.1622
target_0.02,0.02,10/3/1,ours,1.4676923076923076,0.9958000000000002,0.004200000000000001,0.0,1.0,0.1622
target_0.02,0.02,10/3/1,ours,1.5084615384615383,0.9958000000000002,0.004200000000000001,0.0,1.0,0.1622
target_0.02,0.02,10/3/1,ours,1.5492307692307692,0.9958000000000002,0.004200000000000001,0.0,1.0,0.1622
target_0.02,0.02,10/3/1,ours,1.5899999999999999,0.9958000000000002,0.004200000000000001,0.0,1.0,0.1622
target_0.02,0.02,10/3/1,ours,1.6307692307692307,0.9958000000000002,0.004200000000000001,0.0,1.0,0.1622
target_0.02,0.02,10/3/1,ours,1.6715384615384614,0.9958000000000002,0.004200000000000001,0.0,1.0,0.1622
target_0.02,0.02,10/3/1,ours,1.712307692307692,0.9958000000000002,0.004200000000000001,0.0,1.0,0.1622
target_0.02,0.02,10/3/1,ours,1.753076923076923,0.9958000000000002,0.004200000000000001,0.0,1.0,0.1622
target_0.02,0.02,10/3/1,ours,1.7938461538461536,0.9958000000000002,0.004200000000000001,0.0,1.0,0.1622
target_0.02,0.02,10/3/1,ours,1.8346153846153845,0.9958000000000002,0.004200000000000001,0.0,1.0,0.1622
target_0.02,0.02,10/3/1,ours,1.8753846153846152,0.9958000000000002,0.004200000000000001,0.0,1.0,0.1622
target_0.02,0.02,10/3/1,ours,1.916153846153846,0.9958000000000002,0.004200000000000001,0.0,1.0,0.1622
target_0.02,0.02,10/3/1,ours,1.9569230769230768,0.9958000000000002,0.004200000000000001,0.0,1.0,0.1622
target_0.02,0.02,10/3/1,ours,1.9976923076923074,0.9964000000000004,0.0036000000000000003,0.0,0.9634146341463414,0.16160000000000002
target_0.02,0.02,10/3/1,ours,2.0384615384615383,0.9964000000000004,0.0036000000000000003,0.0,0.9634146341463414,0.16160000000000002
target_0.02,0.02,10/3/1,ours,2.079230769230769,0.9964000000000004,0.0036000000000000003,0.0,0.9634146341463414,0.16160000000000002
target_0.02,0.02,10/3/1,ours,2.1199999999999997,0.9968,0.0032,0.0,0.9404761904761905,0.1612
target_0.02,0.02,10/3/1,ours,2.1607692307692306,0.9984,0.0016,0.0,0.858695652173913,0.15960000000000002
target_0.02,0.02,10/3/1,ours,2.2015384615384614,1.0,0.0,0.0,0.7899999999999999,0.15800000000000003
target_0.02,0.02,10/3/1,ours,2.2423076923076923,1.0,0.0,0.0,0.7899999999999999,0.15800000000000003
target_0.02,0.02,10/3/1,ours,2.283076923076923,1.0,0.0,0.0,0.7899999999999999,0.15800000000000003
target_0.02,0.02,10/3/1,ours,2.3238461538461537,1.0,0.0,0.0,0.7899999999999999,0.15800000000000003
target_0.02,0.02,10/3/1,ours,2.3646153846153846,1.0,0.0,0.0,0.7899999999999999,0.15800000000000003
target_0.02,0.02,10/3/1,ours,2.405384615384615,1.0,0.0,0.0,0.7899999999999999,0.15800000000000003
target_0.02,0.02,10/3/1,ours,2.446153846153846,1.0,0.0,0.0,0.7899999999999999,0.15800000000000003
target_0.02,0.02,10/3/1,naive,0.0,1.0,0.0,0.0,0.6499999999999998,0.13
target_0.02,0.02,10/3/1,naive,0.006160892585913341,0.983466666666667,0.016533333333333334,0.0,0.6565656565656564,0.14653333333333335
target_0.02,0.02,10/3/1,naive,0.012321785171826681,0.983466666666667,0.016533333333333334,0.0,0.6565656565656564,0.14653333333333335
target_0.02,0.02,10/3/1,naive,0.018482677757740023,0.983466666666667,0.016533333333333334,0.0,0.6565656565656564,0.14653333333333335
target_0.02,0.02,10/3/1,naive,0.024643570343653363,0.983266666666667,0.016733333333333333,0.0,0.6530612244897958,0.14473333333333332
target_0.02,0.02,10/3/1,naive,0.030804462929566703,0.983266666666667,0.016733333333333333,0.0,0.6530612244897958,0.14473333333333332
target_0.02,0.02,10/3/1,naive,0.036965355515480046,0.983266666666667,0.016733333333333333,0.0,0.6530612244897958,0.14473333333333332
target_0.02,0.02,10/3/1,naive,0.043126248101393386,0.983266666666667,0.016733333333333333,0.0,0.6530612244897958,0.14473333333333332
target_0.02,0.02,10/3/1,naive,0.049287140687306726,0.983266666666667,0.016733333333333333,0.0,0.6530612244897958,0.14473333333333332
target_0.02,0.02,10/3/1,naive,0.055448033273220065,0.983066666666667,0.016933333333333335,0.0,0.6597938144329895,0.14493333333333333
target_0.02,0.02,10/3/1,naive,0.061608925859133405,0.9828666666666669,0.017133333333333334,0.0,0.6562499999999998,0.14313333333333336
target_0.02,0.02,10/3/1,naive,0.06776981844504675,0.9824666666666667,0.017533333333333335,0.0,0.6595744680851062,0.14153333333333334
target_0.02,0.02,10/3/1,naive,0.07393071103096009,0.9822666666666666,0.017733333333333334,0.0,0.6666666666666665,0.14173333333333335
target_0.02,0.02,10/3/1,naive,0.08009160361687342,0.9822666666666666,0.017733333333333334,0.0,0.6666666666666665,0.14173333333333335
target_0.02,0.02,10/3/1,naive,0.08625249620278677,0.9818666666666671,0.018133333333333335,0.0,0.6813186813186812,0.14213333333333336
target_0.02,0.02,10/3/1,naive,0.0924133887887001,0.981666666666667,0.018333333333333333,0.0,0.6777777777777777,0.14033333333333337
target_0.02,0.02,10/3/1,naive,0.09857428137461345,0.9812666666666668,0.018733333333333334,0.0,0.6931818181818181,0.14073333333333335
target_0.02,0.02,10/3/1,naive,0.1047351739605268,0.9810666666666668,0.018933333333333337,0.0,0.689655172413793,0.13893333333333335
target_0.02,0.02,10/3/1,naive,0.11089606654644013,0.9641333333333337,0.03586666666666667,0.0,0.6904761904761904,0.15186666666666668
target_0.02,0.02,10/3/1,naive,0.11705695913235348,0.9637333333333336,0.03626666666666667,0.0,0.695121951219512,0.1502666666666667
target_0.02,0.02,10/3/1,naive,0.12321785171826681,0.9631333333333334,0.03686666666666667,0.0,0.7088607594936708,0.14886666666666667
target_0.02,0.02,10/3/1,naive,0.12937874430418014,0.9631333333333334,0.03686666666666667,0.0,0.7088607594936708,0.14886666666666667
target_0.02,0.02,10/3/1,naive,0.1355396368900935,0.9631333333333334,0.03686666666666667,0.0,0.7088607594936708,0.14886666666666667
target_0.02,0.02,10/3/1,naive,0.14170052947600684,0.9466000000000004,0.0534,0.0,0.7051282051282051,0.16340000000000002
target_0.02,0.02,10/3/1,naive,0.14786142206192018,0.9464000000000004,0.0536,0.0,0.7142857142857143,0.16360000000000002
target_0.02,0.02,10/3/1,naive,0.15402231464783353,0.9412000000000003,0.0588,0.0,1.0,0.1608
target_0.02,0.02,10/3/1,naive,0.16018320723374685,0.9244666666666668,0.07553333333333333,0.0,1.0,0.17353333333333334
target_0.02,0.02,10/3/1,naive,0.1663440998196602,0.875266666666667,0.12473333333333333,0.0,1.0,0.22073333333333336
target_0.02,0.02,10/3/1,naive,0.17250499240557354,0.8422000000000001,0.1578,0.0,1.0,0.24980000000000002
target_0.02,0.02,10/3/1,naive,0.1786658849914869,0.842,0.158,0.0,1.0,0.248
target_0.02,0.02,10/3/1,naive,0.1848267775774002,0.8093333333333332,0.19066666666666668,0.0,1.0,0.2806666666666667
target_0.02,0.02,10/3/1,naive,0.19098767016331356,0.7764666666666666,0.2235333333333333,0.0,1.0,0.31153333333333333
target_0.02,0.02,10/3/1,naive,0.1971485627492269,0.7762666666666667,0.22373333333333328,0.0,1.0,0.3097333333333333
target_0.02,0.02,10/3/1,naive,0.20330945533514025,0.7597333333333334,0.24026666666666668,0.0,1.0,0.32426666666666665
target_0.02,0.02,10/3/1,naive,0.2094703479210536,0.7589333333333332,0.24106666666666668,0.0,1.0,0.3170666666666667
target_0.02,0.02,10/3/1,naive,0.21563124050696691,0.7256666666666665,0.2743333333333333,0.0,1.0,0.3443333333333333
target_0.02,0.02,10/3/1,naive,0.22179213309288026,0.6601333333333332,0.33986666666666654,0.0,1.0,0.4078666666666667
target_0.02,0.02,10/3/1,naive,0.2279530256787936,0.6266666666666666,0.37333333333333324,0.0,1.0,0.4333333333333334
target_0.02,0.02,10/3/1,naive,0.23411391826470695,0.6101333333333333,0.38986666666666653,0.0,1.0,0.44786666666666675
target_0.02,0.02,10/3/1,naive,0.24027481085062027,0.5768666666666665,0.42313333333333325,0.0,1.0,0.4751333333333333
target_0.02,0.02,10/3/1,naive,0.24643570343653362,0.5276666666666666,0.47233333333333316,0.0,1.0,0.5223333333333333
target_0.02,0.02,10/3/1,naive,0.252596596022447,0.44559999999999994,0.5543999999999999,0.0,1.0,0.6004
target_0.02,0.02,10/3/1,naive,0.2587574886083603,0.3798666666666666,0.6201333333333332,0.0,1.0,0.6621333333333334
target_0.02,0.02,10/3/1,naive,0.26491838119427363,0.3468,0.6532,0.0,1.0,0.6912
target_0.02,0.02,10/3/1,naive,0.271079273780187,0.31393333333333323,0.6860666666666666,0.0,1.0,0.7220666666666666
target_0.02,0.02,10/3/1,naive,0.2772401663661003,0.28086666666666665,0.7191333333333332,0.0,1.0,0.7511333333333333
target_0.02,0.02,10/3/1,naive,0.2834010589520137,0.24799999999999994,0.752,0.0,1.0,0.782
target_0.02,0.02,10/3/1,naive,0.289561951537927,0.18226666666666666,0.8177333333333333,0.0,1.0,0.8437333333333331
target_0.02,0.02,10/3/1,naive,0.29572284412384037,0.16513333333333333,0.8348666666666666,0.0,1.0,0.8528666666666668
target_0.02,0.02,10/3/1,naive,0.3018837367097537,0.13186666666666666,0.8681333333333334,0.0,1.0,0.8801333333333332
target_0.02,0.02,10/3/1,naive,0.30804462929566706,0.13166666666666665,0.8683333333333335,0.0,1.0,0.8783333333333332
target_0.02,0.02,10/3/1,naive,0.31420552188158035,0.11533333333333333,0.8846666666666669,0.0,1.0,0.8946666666666665
target_0.02,0.02,10/3/1,naive,0.3203664144674937,0.08246666666666666,0.9175333333333338,0.0,1.0,0.9255333333333333
target_0.02,0.02,10/3/1,naive,0.32652730705340705,0.08246666666666666,0.9175333333333338,0.0,1.0,0.9255333333333333
target_0.02,0.02,10/3/1,naive,0.3326881996393204,0.06593333333333333,0.9340666666666667,0.0,1.0,0.9400666666666668
target_0.02,0.02,10/3/1,naive,0.33884909222523374,0.0494,0.9506000000000002,0.0,1.0,0.9546000000000001
target_0.02,0.02,10/3/1,naive,0.3450099848111471,0.0492,0.9508000000000003,0.0,1.0,0.9528000000000002
target_0.02,0.02,10/3/1,naive,0.35117087739706043,0.03266666666666666,0.9673333333333337,0.0,,0.9673333333333334
target_0.02,0.02,10/3/1,naive,0.3573317699829738,0.01633333333333333,0.9836666666666671,0.0,,0.9836666666666666
target_0.02,0.02,10/3/1,naive,0.3634926625688871,0.01633333333333333,0.9836666666666671,0.0,,0.9836666666666666
target_0.02,0.02,10/3/1,naive,0.3696535551548004,0.0,1.0,,,1.0
target_0.02_realistic,0.02,100/3/1,ours,0.0,0.0,1.0,,,1.0
target_0.02_realistic,0.02,100/3/1,ours,0.05145631067961166,0.0,1.0,,,1.0
target_0.02_realistic,0.02,100/3/1,ours,0.10291262135922331,0.0,1.0,,,1.0
target_0.02_realistic,0.02,100/3/1,ours,0.15436893203883498,0.0,1.0,,,1.0
target_0.02_realistic,0.02,100/3/1,ours,0.20582524271844663,0.0,1.0,,,1.0
target_0.02_realistic,0.02,100/3/1,ours,0.2572815533980583,0.0,1.0,,,1.0
target_0.02_realistic,0.02,100/3/1,ours,0.30873786407766995,0.0,1.0,,,1.0
target_0.02_realistic,0.02,100/3/1,ours,0.3601941747572816,0.0,1.0,,,1.0
target_0.02_realistic,0.02,100/3/1,ours,0.41165048543689325,0.01633333333333333,0.9836666666666671,0.0,,0.9836666666666666
target_0.02_realistic,0.02,100/3/1,ours,0.4631067961165049,0.01633333333333333,0.9836666666666671,0.0,,0.9836666666666666
target_0.02_realistic,0.02,100/3/1,ours,0.5145631067961166,0.01633333333333333,0.9836666666666671,0.0,,0.9836666666666666
target_0.02_realistic,0.02,100/3/1,ours,0.5660194174757283,0.0492,0.9508000000000003,0.0,1.0,0.9708000000000002
target_0.02_realistic,0.02,100/3/1,ours,0.6174757281553399,0.0498,0.9502,0.0,1.0,1.0302
target_0.02_realistic,0.02,100/3/1,ours,0.6689320388349516,0.0498,0.9502,0.0,1.0,1.0302
